date,home_team,away_team,team,scorer,minute,own_goal,penalty,MATCH_ID
2018-09-08,SUI,ISL,SUI,Xherdan Shaqiri,53.0,False,False,20180908_SUI_ISL
2018-09-08,SUI,ISL,SUI,Haris Seferovic,67.0,False,False,20180908_SUI_ISL
2018-09-08,SUI,ISL,SUI,Albian Ajeti,71.0,False,False,20180908_SUI_ISL
2018-09-08,SUI,ISL,SUI,Admir Mehmedi,82.0,False,False,20180908_SUI_ISL
2018-09-09,BUL,NOR,BUL,Radoslav Vasilev,59.0,False,False,20180909_BUL_NOR
2018-09-09,CYP,SVN,SVN,Robert Berić,54.0,False,False,20180909_CYP_SVN
2018-09-09,CYP,SVN,CYP,Pieros Sotiriou,69.0,False,False,20180909_CYP_SVN
2018-09-09,CYP,SVN,CYP,Petar Stojanović,89.0,True,False,20180909_CYP_SVN
2018-09-09,DEN,WAL,DEN,Christian Eriksen,32.0,False,False,20180909_DEN_WAL
2018-09-09,DEN,WAL,DEN,Christian Eriksen,63.0,False,True,20180909_DEN_WAL
2018-09-09,FRA,NED,FRA,Kylian Mbappé,14.0,False,False,20180909_FRA_NED
2018-09-09,FRA,NED,NED,Ryan Babel,67.0,False,False,20180909_FRA_NED
2018-09-09,FRA,NED,FRA,Olivier Giroud,75.0,False,False,20180909_FRA_NED
2018-09-09,GEO,LVA,GEO,Tornike Okriashvili,77.0,False,True,20180909_GEO_LVA
2018-09-09,LIE,GIB,LIE,Dennis Salanović,32.0,False,False,20180909_LIE_GIB
2018-09-09,LIE,GIB,LIE,Sandro Wieser,72.0,False,False,20180909_LIE_GIB
2018-09-09,MKD,ARM,MKD,Ezgjan Alioski,14.0,False,True,20180909_MKD_ARM
2018-09-09,MKD,ARM,MKD,Goran Pandev,59.0,False,False,20180909_MKD_ARM
2018-09-09,UKR,SVK,UKR,Andriy Yarmolenko,80.0,False,True,20180909_UKR_SVK
2018-09-10,AND,KAZ,KAZ,Yuriy Logvinenko,68.0,False,False,20180910_AND_KAZ
2018-09-10,AND,KAZ,AND,Jordi Aláez,86.0,False,False,20180910_AND_KAZ
2018-09-10,KVX,FRO,KVX,Arbër Zeneli,50.0,False,False,20180910_KVX_FRO
2018-09-10,KVX,FRO,KVX,Atdhe Nuhiu,55.0,False,False,20180910_KVX_FRO
2018-09-10,MLT,AZE,MLT,Andrei Agius,10.0,False,True,20180910_MLT_AZE
2018-09-10,MLT,AZE,AZE,Tamkin Khalilzade,26.0,False,False,20180910_MLT_AZE
2018-09-10,MNE,LTU,MNE,Stefan Savić,34.0,False,True,20180910_MNE_LTU
2018-09-10,MNE,LTU,MNE,Marko Janković,35.0,False,False,20180910_MNE_LTU
2018-09-10,POR,ITA,POR,André Silva,48.0,False,False,20180910_POR_ITA
2018-09-10,SCO,ALB,SCO,Berat Djimsiti,47.0,True,False,20180910_SCO_ALB
2018-09-10,SCO,ALB,SCO,Steven Naismith,68.0,False,False,20180910_SCO_ALB
2018-09-10,SRB,ROU,SRB,Aleksandar Mitrović,26.0,False,False,20180910_SRB_ROU
2018-09-10,SRB,ROU,ROU,Nicolae Stanciu,48.0,False,True,20180910_SRB_ROU
2018-09-10,SRB,ROU,SRB,Aleksandar Mitrović,63.0,False,False,20180910_SRB_ROU
2018-09-10,SRB,ROU,ROU,George Țucudean,68.0,False,False,20180910_SRB_ROU
2018-09-10,SWE,TUR,SWE,Isaac Kiese Thelin,35.0,False,False,20180910_SWE_TUR
2018-09-10,SWE,TUR,SWE,Viktor Claesson,49.0,False,False,20180910_SWE_TUR
2018-09-10,SWE,TUR,TUR,Hakan Çalhanoğlu,51.0,False,False,20180910_SWE_TUR
2018-09-10,SWE,TUR,TUR,Emre Akbaba,88.0,False,False,20180910_SWE_TUR
2018-09-10,SWE,TUR,TUR,Emre Akbaba,90.0,False,False,20180910_SWE_TUR
2018-09-11,BIH,AUT,BIH,Edin Džeko,78.0,False,False,20180911_BIH_AUT
2018-09-11,FIN,EST,FIN,Teemu Pukki,12.0,False,False,20180911_FIN_EST
2018-09-11,HUN,GRE,HUN,Roland Sallai,15.0,False,False,20180911_HUN_GRE
2018-09-11,HUN,GRE,GRE,Kostas Manolas,18.0,False,False,20180911_HUN_GRE
2018-09-11,HUN,GRE,HUN,László Kleinheisler,43.0,False,False,20180911_HUN_GRE
2018-09-11,ISL,BEL,BEL,Eden Hazard,29.0,False,True,20180911_ISL_BEL
2018-09-11,ISL,BEL,BEL,Romelu Lukaku,31.0,False,False,20180911_ISL_BEL
2018-09-11,ISL,BEL,BEL,Romelu Lukaku,81.0,False,False,20180911_ISL_BEL
2018-09-11,SMR,LUX,LUX,Maxime Chanot,9.0,False,False,20180911_SMR_LUX
2018-09-11,SMR,LUX,LUX,Aurélien Joachim,45.0,False,False,20180911_SMR_LUX
2018-09-11,SMR,LUX,LUX,Danel Sinani,52.0,False,False,20180911_SMR_LUX
2018-09-11,ESP,CRO,ESP,Saúl Ñíguez,24.0,False,False,20180911_ESP_CRO
2018-09-11,ESP,CRO,ESP,Marco Asensio,33.0,False,False,20180911_ESP_CRO
2018-09-11,ESP,CRO,ESP,Lovre Kalinić,35.0,True,False,20180911_ESP_CRO
2018-09-11,ESP,CRO,ESP,Rodrigo,49.0,False,False,20180911_ESP_CRO
2018-09-11,ESP,CRO,ESP,Sergio Ramos,57.0,False,False,20180911_ESP_CRO
2018-09-11,ESP,CRO,ESP,Isco,70.0,False,False,20180911_ESP_CRO
2018-10-11,FRO,AZE,AZE,Richard Almeida de Oliveira,28.0,False,False,20181011_FRO_AZE
2018-10-11,FRO,AZE,AZE,Dimitrij Nazarov,67.0,False,False,20181011_FRO_AZE
2018-10-11,FRO,AZE,AZE,Richard Almeida de Oliveira,86.0,False,True,20181011_FRO_AZE
2018-10-11,ISR,SCO,SCO,Charlie Mulgrew,25.0,False,True,20181011_ISR_SCO
2018-10-11,ISR,SCO,ISR,Dor Peretz,52.0,False,False,20181011_ISR_SCO
2018-10-11,ISR,SCO,ISR,Kieran Tierney,75.0,True,False,20181011_ISR_SCO
2018-10-11,KVX,MLT,KVX,Benjamin Kololli,30.0,False,False,20181011_KVX_MLT
2018-10-11,KVX,MLT,MLT,Andrei Agius,51.0,False,False,20181011_KVX_MLT
